"sample","Username","stimID","ID","group","groupEffectCoded","mediansplitCuriosityWithinSubject","trialMain","itemMain","responseAnswer","rtAnswer","rtCuriosity","responseCuriosity","curiosityGroupMeanCentered","curiosity_dich","rewardByCuriosity","blockMain","trialRecall","itemRecall","responseRecall","cuedRecallStrict","cuedRecallLenient","Flagging","Comments","trialRecognition","itemRecognition","responseRecognition","rtRecognition","responseConfidence","rtConfidence","confidenceGroupMeanCentered","recognition","responseConfidenceCorrectTrials","responseConfidenceIncorrectTrials","confidenceGroupMeanCenteredCorrectTrials","recognitionAboveMeanConf","recognitionConfLevel_1","recognitionConfLevel_above_1","recognitionConfLevel_1_2","recognitionConfLevel_1_2_3","recognitionConfLevel_2","recognitionConfLevel_above_2","recognitionConfLevel_3","recognitionConfLevel_above_3","recognitionConfLevel_3_4","recognitionConfLevel_4","recognitionConfLevel_above_4","recognitionConfLevel_4_5_6","recognitionConfLevel_5","recognitionConfLevel_above_5","recognitionConfLevel_5_6","recognitionConfLevel_6","rememberedStrictAboveAvg","rememberedLenientAboveAvg","rememberedStrictHigh","rememberedLenientHigh","curBen_cont_cuedRecallStrict","curBen_dich_cuedRecallStrict","curBen_cont_cuedRecallLenient","curBen_dich_cuedRecallLenient","curBen_cont_allConf","curBen_dich_allConf","curBen_cont_highConf","curBen_dich_highConf","curBen_cont_aboveAvgConf","curBen_dich_aboveAvgConf","curBen_cont_rememberedStrictAboveAvg","curBen_dich_rememberedStrictAboveAvg","curBen_cont_rememberedLenientAboveAvg","curBen_dich_rememberedLenientAboveAvg","curBen_cont_rememberedStrictHigh","curBen_dich_rememberedStrictHigh","curBen_cont_rememberedLenientHigh","curBen_dich_rememberedLenientHigh"
"pilot","5396d1c1fdf99b1cf6eb7484","K16_short","exp27","exp",1,"below",2,14,"0",4.376,2.742,2,-1.27777777777778,-1,-1.27777777777778,1,11,14,"no recall",0,0,NA,"",22,14,"The magician asks the volunteer to mark the cards using the pen. After he shuffles them; the volunteer's writing has disappeared from all of the cards.",19866,1,2604,-1.88888888888889,0,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","K18","exp27","exp",1,"median",7,15,"1",7.023,2.763,3,-0.277777777777778,-1,-0.277777777777778,1,22,15,"he folded the four-fold paper and we saw that there were things on the back four sides too can't remember after that",0,0,1,"Does this detail matter? should it be lenient? ",8,15,"The magician folds the sheet of paper smaller and smaller until it transforms into a pack of cards.",13718,4,2415,1.11111111111111,0,NA,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","K19_long","exp27","exp",1,"above",14,16,"0",3.198,3.491,5,1.72222222222222,1,1.72222222222222,2,15,16,"balls disappeared under cup then reappeared in his hands.",0,1,1,"Flagging case 2A (correct): Partial recollection – - THEY ADD INCORRECT Irrelevant INFORMATION (  appears no under the cup but in participants hand) + Flagging case 4 (lenient)   he could have guessed this from the cue. = LENIENT ",4,16,"The red balls are placed under the mug and merge to become a form a larger ball.",16893,3,2350,0.111111111111111,0,NA,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.72222222222222,1,0,0,0,0,0,0,0,0,1.72222222222222,1,0,0,1.72222222222222,1
"pilot","5396d1c1fdf99b1cf6eb7484","K2","exp27","exp",1,"above",35,10,"0",2.925,4.474,4,0.722222222222222,1,0.722222222222222,3,7,10,"Inside the book are images of sweets. Real sweets fell out of the book and the images disappeared to leave blank pages",1,1,NA,"",26,10,"The sweets shown on the pages disappear.",12465,5,5073,2.11111111111111,0,NA,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.722222222222222,1,0.722222222222222,1,0,0,0,0,0,0,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1
"pilot","5396d1c1fdf99b1cf6eb7484","K21_long","exp27","exp",1,"above",10,17,"0",5.115,2.848,4,0.722222222222222,1,0.722222222222222,1,13,17,"no recall",0,0,NA,"",21,17,"The magician flips the middle card over with a slight gesture and then changes the colour of the back of the card from blue to red.",22704,2,2426,-0.888888888888889,1,2,NA,-0.888888888888889,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","K24","exp27","exp",1,"above",22,18,"0",3.431,2.684,4,0.722222222222222,1,0.722222222222222,2,8,18,"no recall",0,0,NA,"",16,18,"The magician folds the £10 note in a piece of paper and tears it. He reveals that the note is still intact afterwards.",8126,3,3430,0.111111111111111,0,NA,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","K3","exp27","exp",1,"below",20,11,"0",2.703,7.116,2,-1.27777777777778,-1,-1.27777777777778,2,10,11,"no recall",0,0,NA,"",5,11,"The magician makes ladybirds appear and then disappear again.",8647,2,2371,-0.888888888888889,1,2,NA,-0.888888888888889,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27777777777778,-1,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","K4","exp27","exp",1,"median",36,12,"0",9.913,7.755,3,-0.277777777777778,-1,-0.277777777777778,3,25,12,"After some fiddling around with it I think he passed his hand over different sides and they each changed to a single colour",1,1,NA,"",1,12,"The magician shakes the rubix cube and it becomes all white.",15471,5,3424,2.11111111111111,0,NA,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-0.277777777777778,-1,-0.277777777777778,-1,0,0,0,0,0,0,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1
"pilot","5396d1c1fdf99b1cf6eb7484","S11","exp27","exp",1,"median",19,20,"0",4.202,2.624,3,-0.277777777777778,-1,-0.277777777777778,2,33,20,"no recall",0,0,NA,"",19,20,"The magician pushes a cigarette through a coin and then reveals that there is no hole.",10020,5,3340,2.11111111111111,1,5,NA,2.11111111111111,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1
"pilot","5396d1c1fdf99b1cf6eb7484","S12","exp27","exp",1,"above",4,21,"0",5.16,3.204,4,0.722222222222222,1,0.722222222222222,1,28,21,"think he clipped a circle from one corner passed his hand over it and moved the hole to other corners then made the hole disappear",1,1,NA,"",11,21,"The magician punches a hole in the card. He then moves the hole from one corner to another before finally revealing that it is actually a black spot on the card.",14156,5,3219,2.11111111111111,1,5,NA,2.11111111111111,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1
"pilot","5396d1c1fdf99b1cf6eb7484","S15","exp27","exp",1,"above",34,22,"2",3.936,3.406,4,0.722222222222222,1,0.722222222222222,3,1,22,"no recall",0,0,NA,"",14,22,"The magician puts the ring into the glass and starts tossing it around until the ring is around the stem.",11552,2,2651,-0.888888888888889,0,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","S18","exp27","exp",1,"below",31,23,"0",3.648,10.205,2,-1.27777777777778,-1,-1.27777777777778,3,19,23,"no recall",0,0,NA,"",17,23,"The magician pulls three boxes containing flowers from a paper bag.",9461,4,2843,1.11111111111111,1,4,NA,1.11111111111111,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,-1.27777777777778,-1,-1.27777777777778,-1,-1.27777777777778,-1,-1.27777777777778,-1,-1.27777777777778,-1,-1.27777777777778,-1,-1.27777777777778,-1
"pilot","5396d1c1fdf99b1cf6eb7484","S21","exp27","exp",1,"median",17,24,"1",3.251,4.18,3,-0.277777777777778,-1,-0.277777777777778,2,36,24,"bending the spoon",1,1,NA,"",3,24,"The magician bents the spoon only sing his pinkie as a force.",24572,3,2527,0.111111111111111,0,NA,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-0.277777777777778,-1,-0.277777777777778,-1,0,0,0,0,0,0,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1
"pilot","5396d1c1fdf99b1cf6eb7484","S25","exp27","exp",1,"median",29,25,"1",5.59,3.99,3,-0.277777777777778,-1,-0.277777777777778,3,32,25,"no recall",0,0,NA,"",13,25,"The magician makes a silk handkerchief appear inside a bread roll.",7353,2,2529,-0.888888888888889,1,2,NA,-0.888888888888889,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.277777777777778,-1,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","S27","exp27","exp",1,"median",23,26,"0",3.45,2.225,3,-0.277777777777778,-1,-0.277777777777778,2,27,26,"he poured water into one cup from the bottle from the first cup to the second cup did something then tipped the cups upside down and there was no water falling from them",1,1,NA,"",20,26,"The magician pours water into a cup from the bottle and then pours the water into another cup but when he tips it upside down; no water spills out.",13652,6,2866,3.11111111111111,1,6,NA,3.11111111111111,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1
"pilot","5396d1c1fdf99b1cf6eb7484","S30","exp27","exp",1,"median",38,27,"0",4.262,7.819,3,-0.277777777777778,-1,-0.277777777777778,3,23,27,"no recall",0,0,NA,"",10,27,"The magician cuts a piece of string in several places and then magically puts it back together again.",10377,1,2421,-1.88888888888889,0,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","S31","exp27","exp",1,"below",28,28,"0",3.465,3.261,2,-1.27777777777778,-1,-1.27777777777778,3,18,28,"no recall",0,0,NA,"",9,28,"The magician places chopsticks into an envelope; but is still able to crush the envelope and its contents into a paper ball.",8198,4,3036,1.11111111111111,1,4,NA,1.11111111111111,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,-1.27777777777778,-1,-1.27777777777778,-1,-1.27777777777778,-1,-1.27777777777778,-1,-1.27777777777778,-1,-1.27777777777778,-1,-1.27777777777778,-1
"pilot","5396d1c1fdf99b1cf6eb7484","S9","exp27","exp",1,"median",12,19,"0",2.791,2.671,3,-0.277777777777778,-1,-0.277777777777778,1,6,19,"The cards were swept up and turned over on the other sides were regular card faces in 4 suits/13 numbers. He did something to the cards then they all had a red back and a blank face.",1,1,NA,"",28,19,"The magician covers the cards with a silk handkerchief. After the silk is removed; the cards are blank.",8786,4,2522,1.11111111111111,0,NA,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-0.277777777777778,-1,-0.277777777777778,-1,0,0,0,0,0,0,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1
"pilot","5396d1c1fdf99b1cf6eb7484","Trick20_short","exp27","exp",1,"median",24,32,"1",3.884,2.648,3,-0.277777777777778,-1,-0.277777777777778,2,12,32,"no recall",0,0,NA,"",6,32,"The volunteer holds the nut in her hands which are then tied with the rope. When the magician removes the rope; the nut is no longer in the volunteer's hand but appears in the magician's pocket.",382809,1,2271,-1.88888888888889,0,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","Trick28","exp27","exp",1,"above",11,33,"1",5.758,2.553,5,1.72222222222222,1,1.72222222222222,1,2,33,"The loops were repeatedly linked and unlinked from each other in a chain.",1,1,NA,"",24,33,"The magician links and unlinks several silver rings while the keep their shape.",17295,5,2653,2.11111111111111,1,5,NA,2.11111111111111,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1.72222222222222,1,1.72222222222222,1,1.72222222222222,1,1.72222222222222,1,1.72222222222222,1,1.72222222222222,1,1.72222222222222,1,1.72222222222222,1,1.72222222222222,1
"pilot","5396d1c1fdf99b1cf6eb7484","Trick32_long","exp27","exp",1,"median",21,34,"0",18.801,23.739,3,-0.277777777777778,-1,-0.277777777777778,2,21,34,"no recall",0,0,NA,"",32,34,"The magician makes a silver coin disappear and reappear several times before it is transformed into a large coin.",8866,1,2430,-1.88888888888889,1,1,NA,-1.88888888888889,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.277777777777778,-1,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","Trick37","exp27","exp",1,"above",9,35,"0",3.135,3.316,4,0.722222222222222,1,0.722222222222222,1,35,35,"no recall",0,0,NA,"",35,35,"An elastic band visually travels from finger to finger.",10801,5,2439,2.11111111111111,1,5,NA,2.11111111111111,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1
"pilot","5396d1c1fdf99b1cf6eb7484","Trick38","exp27","exp",1,"median",15,36,"0",4.261,3.398,3,-0.277777777777778,-1,-0.277777777777778,2,26,36,"no recall",0,0,NA,"",34,36,"The magician makes a little bird figure appear under the silk handkerchief.",10138,1,2445,-1.88888888888889,0,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","Trick4","exp27","exp",1,"median",8,29,"0",4.833,2.965,3,-0.277777777777778,-1,-0.277777777777778,1,34,29,"he put something beneath the balloon then let the air out of the balloon and somehow the something was inside the balloon",1,1,NA,"",18,29,"The magician puts the mobile phone inside the balloon with a simple gesture of his hands.",22071,5,3337,2.11111111111111,1,5,NA,2.11111111111111,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1,-0.277777777777778,-1
"pilot","5396d1c1fdf99b1cf6eb7484","Trick6_short","exp27","exp",1,"above",5,30,"1",4.372,2.478,4,0.722222222222222,1,0.722222222222222,1,24,30,"no recall",0,0,NA,"",23,30,"The magician puts a ball under the cup; which then turns into a larger ball and then becomes an egg.",7320,1,2851,-1.88888888888889,1,1,NA,-1.88888888888889,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","Trick7_short","exp27","exp",1,"median",3,31,"0",4.426,4.067,3,-0.277777777777778,-1,-0.277777777777778,1,31,31,"no recall",0,0,NA,"",27,31,"The magician places two foam balls in volunteer's hands. The foam balls then start to jump up and down of their own accord.",12760,1,2840,-1.88888888888889,0,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","53a9a1a6fdf99b5cf1a36ee0","H10","exp13","exp",1,"above",1,2,"0",2.895,2.791,5,1.02777777777778,1,1.02777777777778,1,7,2,"he puts the card back together",1,1,NA,NA,20,2,"Magician magically repairs split card.",107268,6,2148,1.75,1,6,NA,1.75,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1.02777777777778,1,1.02777777777778,1,1.02777777777778,1,1.02777777777778,1,1.02777777777778,1,1.02777777777778,1,1.02777777777778,1,1.02777777777778,1,1.02777777777778,1
"pilot","53a9a1a6fdf99b5cf1a36ee0","H15","exp13","exp",1,"median",3,3,"2",3.072,3.194,4,0.0277777777777777,1,0.0277777777777777,1,21,3,"no recall",0,0,NA,NA,10,3,"When the magician starts to shake the card box; toothpicks start to fall out of the box and the cards have vanished.",12497,2,2621,-2.25,0,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","53a9a1a6fdf99b5cf1a36ee0","H16","exp13","exp",1,"median",24,4,"1",3.224,2.328,4,0.0277777777777777,1,0.0277777777777777,2,8,4,"no recall",0,0,NA,NA,29,4,"The magician pours coke into a glass from an empty can.",15398,5,2238,0.75,1,5,NA,0.75,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1
"pilot","53a9a1a6fdf99b5cf1a36ee0","H17","exp13","exp",1,"median",34,5,"3",2.926,1.891,4,0.0277777777777777,1,0.0277777777777777,3,18,5,"he cuts the cigar with the persons finger in the cutter",1,1,NA,NA,25,5,"The magician uses a guillotine to slice breadsticks; but not the volunteer's finger.",14058,6,2756,1.75,1,6,NA,1.75,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1
"pilot","53a9a1a6fdf99b5cf1a36ee0","H19","exp13","exp",1,"above",19,6,"0",2.795,2.79,6,2.02777777777778,1,2.02777777777778,2,24,6,"no recall",0,0,NA,NA,19,6,"The magician places paper in volunteer's hand and sets it alight; revealing a red sponge ball.",51056,5,3736,0.75,1,5,NA,0.75,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,2.02777777777778,1,2.02777777777778,1,2.02777777777778,1,2.02777777777778,1,2.02777777777778,1,2.02777777777778,1,2.02777777777778,1
"pilot","53a9a1a6fdf99b5cf1a36ee0","H35","exp13","exp",1,"above",35,7,"0",3.261,2.317,6,2.02777777777778,1,2.02777777777778,3,11,7,"no recall",0,0,NA,NA,33,7,"The volunteer signs a card which the magician subsequently pulls from a Ziploc bag.",15275,5,2912,0.75,1,5,NA,0.75,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,2.02777777777778,1,2.02777777777778,1,2.02777777777778,1,2.02777777777778,1,2.02777777777778,1,2.02777777777778,1,2.02777777777778,1
"pilot","53a9a1a6fdf99b5cf1a36ee0","H36","exp13","exp",1,"median",2,8,"0",12.881,2.678,4,0.0277777777777777,1,0.0277777777777777,1,22,8,"no recall",0,0,NA,NA,31,8,"The magician bends the bolt by hand.",11107,1,2239,-3.25,0,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","53a9a1a6fdf99b5cf1a36ee0","H37","exp13","exp",1,"median",28,9,"3",2.309,2.88,4,0.0277777777777777,1,0.0277777777777777,3,6,9,"no recall",0,0,NA,NA,23,9,"The magician unscrews his own finger and then shakes it back into place.",8338,6,2586,1.75,1,6,NA,1.75,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1,0.0277777777777777,1
